groups,variables,values
Stimulants Dep.,Stimulants Dep.,0
Stimulants Dep.,Opioids Dep.,20
Stimulants Dep.,Sedatives Dep.,30
Stimulants Dep.,Alcohol Dependence,30
Stimulants Dep.,Somatisation D.,0
Stimulants Dep.,Body Dysmorphic D.,0
Stimulants Dep.,Pathological Gambling,10
Stimulants Dep.,Insomnia,60
Stimulants Dep.,Hypersomnia,10
Opioids Dep.,Panic Disorder,27.27
Opioids Dep.,Agoraphobia,27.27
Opioids Dep.,Social Anxiety D.,63.64
Opioids Dep.,Specific Phobia,36.36
Opioids Dep.,Generalised Anxiety D.,45.45
Opioids Dep.,Obsessive-Compulsive-D.,27.27
Opioids Dep.,Post Traumatic Stress D.,36.36
Opioids Dep.,Major Depressive Episode,63.64
Opioids Dep.,Anorexia Nervosa,0
Opioids Dep.,Bulimia Nervosa,9.09
Opioids Dep.,Binge Eating D.,9.09
Opioids Dep.,Cannabis Dep.,45.45
Opioids Dep.,Stimulants Dep.,27.27
Opioids Dep.,Opioids Dep.,0
Opioids Dep.,Sedatives Dep.,36.36
Opioids Dep.,Alcohol Dependence,27.27
Opioids Dep.,Somatisation D.,9.09
Opioids Dep.,Body Dysmorphic D.,27.27
Opioids Dep.,Pathological Gambling,18.18
Opioids Dep.,Insomnia,54.55
Opioids Dep.,Hypersomnia,18.18
Sedatives Dep.,Panic Disorder,42.31
Sedatives Dep.,Agoraphobia,7.69
Sedatives Dep.,Social Anxiety D.,42.31
Sedatives Dep.,Specific Phobia,42.31
Sedatives Dep.,Generalised Anxiety D.,53.85
Sedatives Dep.,Obsessive-Compulsive-D.,19.23
Sedatives Dep.,Post Traumatic Stress D.,34.62
Sedatives Dep.,Major Depressive Episode,57.69
Sedatives Dep.,Anorexia Nervosa,0
Sedatives Dep.,Bulimia Nervosa,7.69
Sedatives Dep.,Binge Eating D.,3.85
Sedatives Dep.,Cannabis Dep.,3.85
Sedatives Dep.,Stimulants Dep.,15.38
Sedatives Dep.,Opioids Dep.,11.54
Sedatives Dep.,Sedatives Dep.,0
Sedatives Dep.,Alcohol Dependence,11.54
Sedatives Dep.,Somatisation D.,0
Sedatives Dep.,Body Dysmorphic D.,19.23
Sedatives Dep.,Pathological Gambling,7.69
Sedatives Dep.,Insomnia,61.54
Sedatives Dep.,Hypersomnia,7.69
Alcohol Dependence,Panic Disorder,23.75
Alcohol Dependence,Agoraphobia,8.75
Alcohol Dependence,Social Anxiety D.,43.75
Alcohol Dependence,Specific Phobia,23.13
Alcohol Dependence,Generalised Anxiety D.,45.63
Alcohol Dependence,Obsessive-Compulsive-D.,19.38
Alcohol Dependence,Post Traumatic Stress D.,30
Alcohol Dependence,Major Depressive Episode,52.5
Alcohol Dependence,Anorexia Nervosa,0
Alcohol Dependence,Bulimia Nervosa,13.13
Alcohol Dependence,Binge Eating D.,6.88
Alcohol Dependence,Cannabis Dep.,15
Alcohol Dependence,Stimulants Dep.,10.63
Alcohol Dependence,Opioids Dep.,5
Alcohol Dependence,Sedatives Dep.,13.13
Alcohol Dependence,Alcohol Dependence,0
Alcohol Dependence,Somatisation D.,0.63
Alcohol Dependence,Body Dysmorphic D.,10.63
Alcohol Dependence,Pathological Gambling,9.38
Alcohol Dependence,Insomnia,42.5
Alcohol Dependence,Hypersomnia,13.75
Somatisation D.,Panic Disorder,57.14
Somatisation D.,Agoraphobia,24.49
Somatisation D.,Social Anxiety D.,65.31
Somatisation D.,Specific Phobia,48.98
Somatisation D.,Generalised Anxiety D.,71.43
Somatisation D.,Obsessive-Compulsive-D.,44.9
Somatisation D.,Post Traumatic Stress D.,53.06
Somatisation D.,Major Depressive Episode,81.63
Somatisation D.,Anorexia Nervosa,2.04
Somatisation D.,Bulimia Nervosa,14.29
Somatisation D.,Binge Eating D.,12.24
Somatisation D.,Cannabis Dep.,2.04
Somatisation D.,Stimulants Dep.,4.08
Somatisation D.,Opioids Dep.,6.12
Somatisation D.,Sedatives Dep.,16.33
Somatisation D.,Alcohol Dependence,26.53
Somatisation D.,Somatisation D.,0
Somatisation D.,Body Dysmorphic D.,22.45
Somatisation D.,Pathological Gambling,12.24
Somatisation D.,Insomnia,83.67
Somatisation D.,Hypersomnia,22.45
Body Dysmorphic D.,Panic Disorder,30.79
Body Dysmorphic D.,Agoraphobia,21.9
Body Dysmorphic D.,Social Anxiety D.,66.94
Body Dysmorphic D.,Specific Phobia,37.6
Body Dysmorphic D.,Generalised Anxiety D.,65.29
Body Dysmorphic D.,Obsessive-Compulsive-D.,35.12
Body Dysmorphic D.,Post Traumatic Stress D.,35.33
Body Dysmorphic D.,Major Depressive Episode,68.8
Body Dysmorphic D.,Anorexia Nervosa,1.86
Body Dysmorphic D.,Bulimia Nervosa,26.24
Body Dysmorphic D.,Binge Eating D.,14.88
Body Dysmorphic D.,Cannabis Dep.,9.5
Body Dysmorphic D.,Stimulants Dep.,6.2
Body Dysmorphic D.,Opioids Dep.,2.27
Body Dysmorphic D.,Sedatives Dep.,8.26
Body Dysmorphic D.,Alcohol Dependence,20.45
Body Dysmorphic D.,Somatisation D.,1.24
Body Dysmorphic D.,Body Dysmorphic D.,0
Body Dysmorphic D.,Pathological Gambling,2.07
Body Dysmorphic D.,Insomnia,60.54
Body Dysmorphic D.,Hypersomnia,12.4
Pathological Gambling,Panic Disorder,27.78
Pathological Gambling,Agoraphobia,5.56
Pathological Gambling,Social Anxiety D.,33.33
Pathological Gambling,Specific Phobia,27.78
Pathological Gambling,Generalised Anxiety D.,38.89
Pathological Gambling,Obsessive-Compulsive-D.,22.22
Pathological Gambling,Post Traumatic Stress D.,16.67
Pathological Gambling,Major Depressive Episode,72.22
Pathological Gambling,Anorexia Nervosa,0
Pathological Gambling,Bulimia Nervosa,11.11
Pathological Gambling,Binge Eating D.,5.56
Pathological Gambling,Cannabis Dep.,16.67
Pathological Gambling,Stimulants Dep.,11.11
Pathological Gambling,Opioids Dep.,0
Pathological Gambling,Sedatives Dep.,5.56
Pathological Gambling,Alcohol Dependence,22.22
Pathological Gambling,Somatisation D.,0
Pathological Gambling,Body Dysmorphic D.,11.11
Pathological Gambling,Pathological Gambling,0
Pathological Gambling,Insomnia,50
Pathological Gambling,Hypersomnia,5.56
Insomnia,Panic Disorder,26.46
Insomnia,Agoraphobia,16.16
Insomnia,Social Anxiety D.,46.56
Insomnia,Specific Phobia,30.73
Insomnia,Generalised Anxiety D.,60.31
Insomnia,Obsessive-Compulsive-D.,24.42
Insomnia,Post Traumatic Stress D.,34.49
Insomnia,Major Depressive Episode,62.91
Insomnia,Anorexia Nervosa,0.65
Insomnia,Bulimia Nervosa,10.21
Insomnia,Binge Eating D.,7.47
Insomnia,Cannabis Dep.,5.62
Insomnia,Stimulants Dep.,3.25
Insomnia,Opioids Dep.,2.92
Insomnia,Sedatives Dep.,10.4
Insomnia,Alcohol Dependence,16.25
Insomnia,Somatisation D.,1.81
Insomnia,Body Dysmorphic D.,11.7
Insomnia,Pathological Gambling,3.44
Insomnia,Insomnia,0
Insomnia,Hypersomnia,9.94
Hypersomnia,Panic Disorder,28.69
Hypersomnia,Agoraphobia,17.62
Hypersomnia,Social Anxiety D.,55.33
Hypersomnia,Specific Phobia,31.97
Hypersomnia,Generalised Anxiety D.,65.57
Hypersomnia,Obsessive-Compulsive-D.,20.9
Hypersomnia,Post Traumatic Stress D.,34.02
Hypersomnia,Major Depressive Episode,73.36
Hypersomnia,Anorexia Nervosa,0.82
Hypersomnia,Bulimia Nervosa,12.3
Hypersomnia,Binge Eating D.,9.02
Hypersomnia,Cannabis Dep.,9.02
Hypersomnia,Stimulants Dep.,4.92
Hypersomnia,Opioids Dep.,3.28
Hypersomnia,Sedatives Dep.,12.7
Hypersomnia,Alcohol Dependence,14.75
Hypersomnia,Somatisation D.,2.05
Hypersomnia,Body Dysmorphic D.,17.62
Hypersomnia,Pathological Gambling,5.33
Hypersomnia,Insomnia,60.66
Hypersomnia,Hypersomnia,0
