groups,variables,values
Stimulants Dep.,Stimulants Dep.,0
Stimulants Dep.,Opioids Dep.,22.22
Stimulants Dep.,Sedatives Dep.,33.33
Stimulants Dep.,Alcohol Dependence,33.33
Stimulants Dep.,Somatisation D.,0
Stimulants Dep.,Body Dysmorphic D.,0
Stimulants Dep.,Pathological Gambling,11.11
Stimulants Dep.,Insomnia,55.56
Stimulants Dep.,Hypersomnia,11.11
Opioids Dep.,Panic Disorder,40
Opioids Dep.,Agoraphobia,20
Opioids Dep.,Social Anxiety D.,60
Opioids Dep.,Specific Phobia,40
Opioids Dep.,Generalised Anxiety D.,40
Opioids Dep.,Obsessive-Compulsive-D.,40
Opioids Dep.,Post Traumatic Stress D.,40
Opioids Dep.,Major Depressive Episode,80
Opioids Dep.,Anorexia Nervosa,0
Opioids Dep.,Bulimia Nervosa,20
Opioids Dep.,Binge Eating D.,0
Opioids Dep.,Cannabis Dep.,40
Opioids Dep.,Stimulants Dep.,20
Opioids Dep.,Opioids Dep.,0
Opioids Dep.,Sedatives Dep.,60
Opioids Dep.,Alcohol Dependence,40
Opioids Dep.,Somatisation D.,20
Opioids Dep.,Body Dysmorphic D.,40
Opioids Dep.,Pathological Gambling,20
Opioids Dep.,Insomnia,80
Opioids Dep.,Hypersomnia,20
Sedatives Dep.,Panic Disorder,28.57
Sedatives Dep.,Agoraphobia,14.29
Sedatives Dep.,Social Anxiety D.,50
Sedatives Dep.,Specific Phobia,35.71
Sedatives Dep.,Generalised Anxiety D.,50
Sedatives Dep.,Obsessive-Compulsive-D.,14.29
Sedatives Dep.,Post Traumatic Stress D.,57.14
Sedatives Dep.,Major Depressive Episode,57.14
Sedatives Dep.,Anorexia Nervosa,0
Sedatives Dep.,Bulimia Nervosa,7.14
Sedatives Dep.,Binge Eating D.,0
Sedatives Dep.,Cannabis Dep.,7.14
Sedatives Dep.,Stimulants Dep.,21.43
Sedatives Dep.,Opioids Dep.,7.14
Sedatives Dep.,Sedatives Dep.,0
Sedatives Dep.,Alcohol Dependence,7.14
Sedatives Dep.,Somatisation D.,0
Sedatives Dep.,Body Dysmorphic D.,14.29
Sedatives Dep.,Pathological Gambling,0
Sedatives Dep.,Insomnia,57.14
Sedatives Dep.,Hypersomnia,14.29
Alcohol Dependence,Panic Disorder,22.11
Alcohol Dependence,Agoraphobia,4.21
Alcohol Dependence,Social Anxiety D.,46.32
Alcohol Dependence,Specific Phobia,20
Alcohol Dependence,Generalised Anxiety D.,38.95
Alcohol Dependence,Obsessive-Compulsive-D.,18.95
Alcohol Dependence,Post Traumatic Stress D.,28.42
Alcohol Dependence,Major Depressive Episode,50.53
Alcohol Dependence,Anorexia Nervosa,0
Alcohol Dependence,Bulimia Nervosa,17.89
Alcohol Dependence,Binge Eating D.,6.32
Alcohol Dependence,Cannabis Dep.,17.89
Alcohol Dependence,Stimulants Dep.,13.68
Alcohol Dependence,Opioids Dep.,5.26
Alcohol Dependence,Sedatives Dep.,12.63
Alcohol Dependence,Alcohol Dependence,0
Alcohol Dependence,Somatisation D.,1.05
Alcohol Dependence,Body Dysmorphic D.,10.53
Alcohol Dependence,Pathological Gambling,5.26
Alcohol Dependence,Insomnia,42.11
Alcohol Dependence,Hypersomnia,16.84
Somatisation D.,Panic Disorder,57.5
Somatisation D.,Agoraphobia,25
Somatisation D.,Social Anxiety D.,65
Somatisation D.,Specific Phobia,50
Somatisation D.,Generalised Anxiety D.,72.5
Somatisation D.,Obsessive-Compulsive-D.,35
Somatisation D.,Post Traumatic Stress D.,55
Somatisation D.,Major Depressive Episode,77.5
Somatisation D.,Anorexia Nervosa,2.5
Somatisation D.,Bulimia Nervosa,15
Somatisation D.,Binge Eating D.,12.5
Somatisation D.,Cannabis Dep.,0
Somatisation D.,Stimulants Dep.,5
Somatisation D.,Opioids Dep.,5
Somatisation D.,Sedatives Dep.,12.5
Somatisation D.,Alcohol Dependence,20
Somatisation D.,Somatisation D.,0
Somatisation D.,Body Dysmorphic D.,17.5
Somatisation D.,Pathological Gambling,10
Somatisation D.,Insomnia,80
Somatisation D.,Hypersomnia,25
Body Dysmorphic D.,Panic Disorder,31.63
Body Dysmorphic D.,Agoraphobia,20.66
Body Dysmorphic D.,Social Anxiety D.,67.09
Body Dysmorphic D.,Specific Phobia,40.05
Body Dysmorphic D.,Generalised Anxiety D.,65.31
Body Dysmorphic D.,Obsessive-Compulsive-D.,34.95
Body Dysmorphic D.,Post Traumatic Stress D.,36.48
Body Dysmorphic D.,Major Depressive Episode,67.6
Body Dysmorphic D.,Anorexia Nervosa,2.3
Body Dysmorphic D.,Bulimia Nervosa,29.34
Body Dysmorphic D.,Binge Eating D.,16.07
Body Dysmorphic D.,Cannabis Dep.,7.91
Body Dysmorphic D.,Stimulants Dep.,5.61
Body Dysmorphic D.,Opioids Dep.,2.3
Body Dysmorphic D.,Sedatives Dep.,7.91
Body Dysmorphic D.,Alcohol Dependence,19.64
Body Dysmorphic D.,Somatisation D.,1.53
Body Dysmorphic D.,Body Dysmorphic D.,0
Body Dysmorphic D.,Pathological Gambling,1.02
Body Dysmorphic D.,Insomnia,63.78
Body Dysmorphic D.,Hypersomnia,12.76
Pathological Gambling,Panic Disorder,25
Pathological Gambling,Agoraphobia,0
Pathological Gambling,Social Anxiety D.,37.5
Pathological Gambling,Specific Phobia,37.5
Pathological Gambling,Generalised Anxiety D.,25
Pathological Gambling,Obsessive-Compulsive-D.,12.5
Pathological Gambling,Post Traumatic Stress D.,12.5
Pathological Gambling,Major Depressive Episode,75
Pathological Gambling,Anorexia Nervosa,0
Pathological Gambling,Bulimia Nervosa,0
Pathological Gambling,Binge Eating D.,12.5
Pathological Gambling,Cannabis Dep.,25
Pathological Gambling,Stimulants Dep.,0
Pathological Gambling,Opioids Dep.,0
Pathological Gambling,Sedatives Dep.,0
Pathological Gambling,Alcohol Dependence,12.5
Pathological Gambling,Somatisation D.,0
Pathological Gambling,Body Dysmorphic D.,12.5
Pathological Gambling,Pathological Gambling,0
Pathological Gambling,Insomnia,50
Pathological Gambling,Hypersomnia,12.5
Insomnia,Panic Disorder,27.7
Insomnia,Agoraphobia,14.67
Insomnia,Social Anxiety D.,45.6
Insomnia,Specific Phobia,33.02
Insomnia,Generalised Anxiety D.,61.92
Insomnia,Obsessive-Compulsive-D.,24.1
Insomnia,Post Traumatic Stress D.,38.58
Insomnia,Major Depressive Episode,62.3
Insomnia,Anorexia Nervosa,0.89
Insomnia,Bulimia Nervosa,11.51
Insomnia,Binge Eating D.,7.84
Insomnia,Cannabis Dep.,4.68
Insomnia,Stimulants Dep.,3.1
Insomnia,Opioids Dep.,3.16
Insomnia,Sedatives Dep.,10.82
Insomnia,Alcohol Dependence,14.17
Insomnia,Somatisation D.,1.96
Insomnia,Body Dysmorphic D.,13.47
Insomnia,Pathological Gambling,2.66
Insomnia,Insomnia,0
Insomnia,Hypersomnia,10.18
Hypersomnia,Panic Disorder,29.26
Hypersomnia,Agoraphobia,18.09
Hypersomnia,Social Anxiety D.,55.85
Hypersomnia,Specific Phobia,33.51
Hypersomnia,Generalised Anxiety D.,67.55
Hypersomnia,Obsessive-Compulsive-D.,21.81
Hypersomnia,Post Traumatic Stress D.,34.57
Hypersomnia,Major Depressive Episode,73.4
Hypersomnia,Anorexia Nervosa,1.06
Hypersomnia,Bulimia Nervosa,13.3
Hypersomnia,Binge Eating D.,9.04
Hypersomnia,Cannabis Dep.,6.38
Hypersomnia,Stimulants Dep.,5.32
Hypersomnia,Opioids Dep.,3.72
Hypersomnia,Sedatives Dep.,11.7
Hypersomnia,Alcohol Dependence,13.3
Hypersomnia,Somatisation D.,2.66
Hypersomnia,Body Dysmorphic D.,20.21
Hypersomnia,Pathological Gambling,3.19
Hypersomnia,Insomnia,60.64
Hypersomnia,Hypersomnia,0
